code,name,kind,sido,pop,area,dens,e65,ealone,single,flood_r,ls_r,slope,coastal,border,rz_n,rz_per100,shel,shel_per10k
30170,서구,구,대전광역시,464428,96.2,4828.3,0.1818,0.0989,0.4418,0.2043,0.0043,13.38,0,0,1,1.04,145,3.12
30200,유성구,구,대전광역시,371855,175.9,2114.5,0.1395,0.0714,0.4319,0.0759,0.0051,11.96,0,0,1,0.57,138,3.71
30230,대덕구,구,대전광역시,163823,70.0,2341.7,0.2387,0.1508,0.4369,0.0966,0.0057,11.03,0,0,1,1.43,141,8.61
31110,중구,구,울산광역시,202823,36.5,5555.6,0.2287,0.1464,0.3887,0.3563,0.0,9.39,0,0,13,35.61,149,7.35
31140,남구,구,울산광역시,304418,72.9,4174.6,0.188,0.1084,0.405,0.1965,0.0,7.09,1,0,6,8.23,118,3.88
31170,동구,구,울산광역시,147633,37.2,3964.8,0.2097,0.1117,0.3886,0.0,0.0,9.22,1,0,2,5.37,112,7.59
31200,북구,구,울산광역시,213512,158.1,1350.7,0.1395,0.0794,0.3129,0.2157,0.0,13.69,1,0,6,3.8,53,2.48
31710,울주군,군,울산광역시,218370,759.0,287.7,0.222,0.1472,0.4048,0.0501,0.0046,16.65,1,0,10,1.32,67,3.07
36110,세종특별자치시,시,세종특별자치시,377746,466.5,809.8,0.1314,0.0763,0.3479,0.0248,0.0178,12.58,0,0,22,4.72,178,4.71
41111,수원시장안구,구,경기도,269791,33.3,8104.3,0.1895,0.1168,0.3966,0.0116,0.0116,11.36,0,0,0,0.0,59,2.19
41113,수원시권선구,구,경기도,360118,47.2,7633.0,0.1719,0.0952,0.3999,0.0,0.0,4.47,0,0,1,2.12,79,2.19
41115,수원시팔달구,구,경기도,193325,13.0,14869.8,0.1909,0.1157,0.4937,0.0,0.0,5.64,0,0,0,0.0,60,3.1
41117,수원시영통구,구,경기도,362098,27.6,13098.8,0.1102,0.0543,0.3735,0.0,0.0119,7.85,0,0,1,3.62,83,2.29
41131,성남시수정구,구,경기도,223548,45.7,4893.1,0.2145,0.1359,0.4624,0.0082,0.0,12.22,0,0,0,0.0,51,2.28
41133,성남시중원구,구,경기도,167304,26.3,6350.2,0.235,0.1404,0.4634,0.0,0.0,13.81,0,0,0,0.0,56,3.35
41135,성남시분당구,구,경기도,454809,70.0,6497.6,0.1707,0.0761,0.3114,0.0,0.0,12.52,0,0,1,1.43,132,2.9
41150,의정부시,시,경기도,461879,82.3,5610.3,0.2096,0.1326,0.3928,0.0808,0.0,13.29,0,0,1,1.21,114,2.47
41171,안양시만안구,구,경기도,219453,37.2,5891.8,0.2291,0.1249,0.3672,0.0,0.0102,15.99,0,0,0,0.0,64,2.92
41173,안양시동안구,구,경기도,328098,21.9,14950.3,0.1701,0.0822,0.2908,0.0,0.0,11.55,0,0,0,0.0,160,4.88
41192,부천시원미구,구,경기도,371179,20.7,17931.8,0.2005,0.1089,0.3868,0.0,0.0,6.44,0,0,0,0.0,130,3.5
41194,부천시소사구,구,경기도,224007,12.8,17470.1,0.2231,0.1335,0.343,0.0,0.0,8.56,0,0,0,0.0,43,1.92
41196,부천시오정구,구,경기도,148710,20.1,7402.3,0.2322,0.143,0.3928,0.0345,0.0,4.78,0,0,0,0.0,48,3.23
41210,광명시,시,경기도,303726,38.9,7810.4,0.189,0.1022,0.3085,0.2255,0.0,8.75,0,0,1,2.57,85,2.8
41220,평택시,시,경기도,620754,456.1,1361.0,0.1515,0.0945,0.4464,0.1284,0.001,4.4,1,0,6,1.32,130,2.09
41250,동두천시,시,경기도,86186,96.1,896.9,0.284,0.2044,0.4677,0.0,0.0,18.17,0,0,8,8.33,53,6.15
41271,안산시상록구,구,경기도,320505,59.6,5381.2,0.1828,0.1148,0.4261,0.0,0.0,9.99,1,0,0,0.0,71,2.22
41273,안산시단원구,구,경기도,288378,103.8,2778.3,0.1723,0.105,0.4248,0.0097,0.0,5.66,1,0,0,0.0,85,2.95
41281,고양시덕양구,구,경기도,482849,163.0,2961.8,0.2007,0.1212,0.379,0.1114,0.0,10.66,0,0,6,3.68,195,4.04
41285,고양시일산동구,구,경기도,298158,60.3,4947.2,0.1863,0.0987,0.3835,0.1258,0.0,5.63,0,0,1,1.66,122,4.09
41287,고양시일산서구,구,경기도,276159,43.3,6373.7,0.1939,0.1029,0.299,0.009,0.0,3.03,0,0,3,6.92,147,5.32
41290,과천시,시,경기도,81008,35.2,2298.4,0.1639,0.0746,0.2187,0.0,0.0,14.63,0,0,0,0.0,27,3.33
41310,구리시,시,경기도,164096,33.1,4955.0,0.1922,0.107,0.347,0.0337,0.0,8.5,0,0,1,3.02,58,3.53
41360,남양주시,시,경기도,679144,459.0,1479.8,0.1972,0.119,0.3302,0.0163,0.001,15.75,0,0,1,0.22,107,1.58
41370,오산시,시,경기도,254747,42.7,5966.2,0.1347,0.0812,0.4244,0.0089,0.0,7.44,0,0,1,2.34,71,2.79
41390,시흥시,시,경기도,514996,143.5,3589.4,0.1461,0.0934,0.3893,0.0936,0.0,7.03,1,0,3,2.09,141,2.74
41410,군포시,시,경기도,249253,36.0,6923.2,0.2088,0.1222,0.37,0.0,0.0102,12.31,0,0,1,2.78,80,3.21
41430,의왕시,시,경기도,165701,54.1,3062.7,0.2004,0.0941,0.2846,0.0,0.0,13.12,0,0,1,1.85,86,5.19
41450,하남시,시,경기도,320373,93.8,3416.2,0.1715,0.0889,0.3493,0.0491,0.0045,12.03,0,0,0,0.0,90,2.81
41461,용인시처인구,구,경기도,287270,469.1,612.4,0.1924,0.1083,0.3991,0.0503,0.0387,13.19,0,0,2,0.43,72,2.51
41463,용인시기흥구,구,경기도,434408,82.0,5299.6,0.1764,0.087,0.3035,0.0,0.0,11.32,0,0,0,0.0,134,3.08
41465,용인시수지구,구,경기도,368881,42.4,8705.1,0.1631,0.0666,0.2448,0.0,0.0179,13.61,0,0,0,0.0,93,2.52
41480,파주시,시,경기도,534503,687.5,777.5,0.1777,0.1117,0.3754,0.0684,0.0014,10.43,1,0,6,0.87,191,3.57
41500,이천시,시,경기도,225911,462.2,488.7,0.1947,0.1115,0.4523,0.0794,0.0288,8.38,0,0,8,1.73,82,3.63
41550,안성시,시,경기도,199314,555.4,358.9,0.2284,0.1386,0.4586,0.0323,0.0415,11.47,0,0,8,1.44,65,3.26
41570,김포시,시,경기도,483964,281.0,1722.3,0.1758,0.102,0.3508,0.1726,0.0,5.52,1,0,10,3.56,201,4.15
41591,화성시만세구,구,경기도,234363,469.5,499.1,0.1855,0.1174,0.48,0.0055,0.0,6.08,1,0,0,0.0,48,2.05
41593,화성시효행구,구,경기도,160788,153.7,1046.2,0.1603,0.101,0.3755,0.0054,0.0,9.47,0,0,0,0.0,19,1.18
41595,화성시병점구,구,경기도,175045,25.2,6954.1,0.1252,0.0656,0.3666,0.0139,0.0,5.07,0,0,0,0.0,37,2.11
41597,화성시동탄구,구,경기도,429477,55.8,7694.3,0.0713,0.0335,0.2983,0.0,0.0,10.23,0,0,0,0.0,65,1.51
41610,광주시,시,경기도,400323,429.4,932.3,0.1966,0.1053,0.3586,0.0149,0.0011,16.71,0,0,11,2.56,112,2.8
41630,양주시,시,경기도,297352,310.8,956.7,0.1923,0.126,0.3693,0.0606,0.0,13.21,0,0,0,0.0,89,2.99
41650,포천시,시,경기도,140454,828.6,169.5,0.2954,0.1971,0.4967,0.0045,0.0023,16.9,0,0,12,1.45,89,6.34
41670,여주시,시,경기도,113383,608.6,186.3,0.2959,0.1792,0.451,0.1735,0.0,11.05,0,0,19,3.12,32,2.82
41800,연천군,군,경기도,43107,696.6,61.9,0.3444,0.2221,0.5,0.0067,0.0033,15.8,0,1,17,2.44,36,8.35
41820,가평군,군,경기도,62048,842.4,73.7,0.3494,0.2316,0.5116,0.0006,0.0287,22.6,0,0,4,0.47,32,5.16
41830,양평군,군,경기도,126995,881.1,144.1,0.3417,0.2118,0.4509,0.0194,0.0388,18.25,0,0,2,0.23,30,2.36
43111,청주시상당구,구,충청북도,192850,403.9,477.4,0.2124,0.1434,0.3937,0.2412,0.0657,17.27,0,0,1,0.25,68,3.53
43112,청주시서원구,구,충청북도,187809,123.7,1518.1,0.2125,0.133,0.4458,0.2391,0.0337,11.81,0,0,2,1.62,52,2.77
43113,청주시흥덕구,구,충청북도,293157,197.9,1481.1,0.1494,0.0856,0.4466,0.2729,0.0115,8.57,0,0,2,1.01,85,2.9
43114,청주시청원구,구,충청북도,186053,216.1,860.8,0.1806,0.1143,0.4584,0.3154,0.0228,9.09,0,0,2,0.93,34,1.83
43130,충주시,시,충청북도,205872,984.5,209.1,0.2678,0.1687,0.456,0.0297,0.1639,17.08,0,0,26,2.64,38,1.85
43150,제천시,시,충청북도,128043,882.9,145.0,0.3006,0.1943,0.4748,0.0859,0.1177,20.19,0,0,25,2.83,35,2.73
43720,보은군,군,충청북도,31480,585.5,53.8,0.4329,0.2729,0.4975,0.0065,0.0178,19.11,0,0,23,3.93,14,4.45
43730,옥천군,군,충청북도,50660,542.6,93.4,0.3749,0.2465,0.4691,0.0087,0.0044,19.07,0,0,27,4.98,15,2.96
43740,영동군,군,충청북도,43029,855.1,50.3,0.4137,0.269,0.5053,0.0232,0.0023,20.49,0,0,40,4.68,11,2.56
43745,증평군,군,충청북도,36758,81.9,448.7,0.2397,0.1664,0.4891,0.1073,0.0683,13.51,0,0,6,7.32,17,4.62
43750,진천군,군,충청북도,85590,408.2,209.7,0.2168,0.1374,0.4718,0.0348,0.073,14.12,0,0,18,4.41,35,4.09
43760,괴산군,군,충청북도,37267,843.1,44.2,0.4408,0.2675,0.545,0.0445,0.022,19.78,0,0,34,4.03,10,2.68
43770,음성군,군,충청북도,96036,521.6,184.1,0.2761,0.172,0.524,0.0309,0.0725,13.19,0,0,23,4.41,23,2.39
43800,단양군,군,충청북도,26552,782.1,34.0,0.4251,0.2735,0.5233,0.0378,0.085,23.95,0,0,25,3.2,17,6.4
